,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,11,11,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",26.1207754611969,0.8966500356379188,0.9098293239749063,0.9057609759931944,0.8966500356379188,0.9032314552302163,"[0.98576512 0.82334385 0.87804878 0.91898148 0.92553191 0.9047619
 0.89347826 0.85672515 1.         0.83064516 0.86324786 0.96153846
 0.88713911 0.89913899 0.93333333 0.88356164 0.97959184 0.83333333]",0.8966500356379188,0.9098293239749063,"[0.99105546 0.90940767 0.882662   0.91685912 0.92553191 0.95
 0.90230516 0.85672515 1.         0.75182482 0.8559322  0.96153846
 0.85138539 0.87127533 0.875      0.89583333 0.97959184 1.        ]",0.948579717245938
1,Model,11,11,122,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",19.558984994888306,0.8861368496079829,0.9072920199213313,0.9019574509339906,0.8861368496079829,0.8979778774112552,"[0.98576512 0.82075472 0.84974093 0.90740741 0.92391304 0.92682927
 0.88611714 0.85465116 1.         0.8046875  0.88695652 0.9375
 0.87765957 0.88711656 0.9375     0.86407767 0.97959184 0.83333333]",0.8861368496079829,0.9072920199213313,"[0.99105546 0.90940767 0.86164623 0.90531178 0.90425532 0.95
 0.89681668 0.85964912 1.         0.75182482 0.86440678 0.96153846
 0.83123426 0.86174017 0.9375     0.86527778 0.97959184 1.        ]",0.9451158232683556
2,Model,11,11,294,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'tanh', 'MLP:alpha': 3.775312508407531e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 166, 'MLP:solver': 'lbfgs', 'MLP:tol': 5.1444360436453976e-05}",345.9285936355591,0.8130791161796151,0.8359941341515263,0.8343277613096136,0.8130791161796151,0.8402939850136157,"[0.94863014 0.76129032 0.74823944 0.88344988 0.86597938 0.7755102
 0.82421053 0.73925501 0.94117647 0.76984127 0.81081081 0.94366197
 0.7369863  0.80375    1.         0.77916667 0.96       0.83333333]",0.8130791161796151,0.8359941341515263,"[0.99105546 0.82229965 0.74430823 0.87528868 0.89361702 0.95
 0.85949506 0.75438596 1.         0.7080292  0.76271186 0.85897436
 0.67758186 0.76638856 0.625      0.77916667 0.97959184 1.        ]",0.9066526380957858
3,Model,11,11,261,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 8.911070855322597e-05, 'RF:criterion': 'entropy', 'RF:max_features': 0.6568891779477833, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 3, 'RF:n_estimators': 37}",38.299623250961304,0.8171774768353528,0.833993537730917,0.8184270107978281,0.8171774768353528,0.80610756223367,"[0.59284116 0.81125828 0.85968028 0.86651584 0.87755102 0.71111111
 0.88613303 0.80825959 1.         0.70068027 0.75409836 0.75
 0.79227053 0.82187148 0.61111111 0.85405405 0.97916667 0.83333333]",0.8171774768353528,0.833993537730917,"[0.47406082 0.85365854 0.84763573 0.88452656 0.91489362 0.8
 0.86278814 0.80116959 0.9375     0.75182482 0.77966102 0.88461538
 0.82619647 0.86889154 0.6875     0.87777778 0.95918367 1.        ]",0.9070951137018743
4,Model,11,11,211,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 2.572929897258096e-05, 'RF:criterion': 'entropy', 'RF:max_features': 0.49814888331851825, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 5, 'RF:n_estimators': 63}",47.23667120933533,0.812544547398432,0.8368885869541531,0.8188482637566051,0.812544547398432,0.8049224008854803,"[0.60324826 0.81605351 0.84063047 0.85260771 0.86597938 0.75
 0.88004484 0.81120944 1.         0.67346939 0.71317829 0.76666667
 0.78072289 0.82174888 0.65       0.85054348 0.97916667 0.83333333]",0.812544547398432,0.8368885869541531,"[0.46511628 0.85017422 0.84063047 0.86836028 0.89361702 0.825
 0.86169045 0.80409357 0.9375     0.72262774 0.77966102 0.88461538
 0.81612091 0.87365912 0.8125     0.86944444 0.95918367 1.        ]",0.906625810598113
5,Model,11,11,246,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 2.645115080029181e-05, 'RF:criterion': 'entropy', 'RF:max_features': 0.965223403184955, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 4, 'RF:n_estimators': 60}",68.39175605773926,0.8006058446186742,0.8207181807993174,0.8048684583257019,0.8006058446186742,0.7923413767132579,"[0.52214452 0.81355932 0.84827586 0.83482143 0.85858586 0.70212766
 0.86659193 0.78425656 1.         0.6884058  0.6870229  0.77906977
 0.79753086 0.81704545 0.61111111 0.83909574 0.97916667 0.83333333]",0.8006058446186742,0.8207181807993174,"[0.40071556 0.83623693 0.86164623 0.86374134 0.90425532 0.825
 0.84851811 0.78654971 0.9375     0.69343066 0.76271186 0.85897436
 0.81360202 0.85697259 0.6875     0.87638889 0.95918367 1.        ]",0.8991129267431046
6,Model,11,11,133,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'relu', 'MLP:alpha': 6.0337184860417184e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 194, 'MLP:solver': 'adam', 'MLP:tol': 0.0036723762850203157, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.007711956544381872}",63.9726459980011,0.7950819672131147,0.8256236315165437,0.8107845099306229,0.7950819672131147,0.8002480582451774,"[0.54393305 0.81292517 0.83870968 0.83066362 0.88421053 0.70454545
 0.86492622 0.77966102 1.         0.68531469 0.76923077 0.72527473
 0.78553616 0.80446927 0.71428571 0.82744565 1.         0.83333333]",0.7950819672131147,0.8256236315165437,"[0.46511628 0.83275261 0.81961471 0.83833718 0.89361702 0.775
 0.83644347 0.80701754 0.875      0.71532847 0.76271186 0.84615385
 0.79345088 0.85816448 0.9375     0.84583333 0.95918367 1.        ]",0.8988558036408614
7,Model,11,11,222,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'logistic', 'MLP:alpha': 0.0001024893663376085, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 72, 'MLP:solver': 'adam', 'MLP:tol': 0.0015010774925998123, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.008060619102601183}",75.9236011505127,0.7938346400570206,0.8206656336057041,0.8043768373961016,0.7938346400570206,0.7915988355920391,"[0.53287982 0.79725086 0.82474227 0.84761905 0.84       0.72340426
 0.85329018 0.78134111 0.93333333 0.66176471 0.7007874  0.77011494
 0.78947368 0.81786942 0.73684211 0.82556591 0.97916667 0.83333333]",0.7938346400570206,0.8206656336057041,"[0.42039356 0.80836237 0.84063047 0.8221709  0.89361702 0.85
 0.86827662 0.78362573 0.875      0.65693431 0.75423729 0.85897436
 0.79345088 0.85101311 0.875      0.86111111 0.95918367 1.        ]",0.8972324198540995
8,Model,11,11,231,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'Enc:ENC:encoder': 'one-hot', 'SVM:C': 15.125152523581047, 'SVM:gamma': 0.0460130852373837, 'SVM:kernel': 'poly', 'SVM:tol': 0.0005286902609141726, 'SVM:coef0': 1.6802538581462372, 'SVM:degree': 3}",489.03837752342224,0.7908054169636494,0.8157915466579344,0.7996384742135889,0.7908054169636494,0.7867094879691828,"[0.4939759  0.79054054 0.82081911 0.84318182 0.84848485 0.69565217
 0.85997795 0.7826087  0.9375     0.68275862 0.72131148 0.825
 0.78696742 0.8        0.63157895 0.82791328 0.97916667 0.83333333]",0.7908054169636494,0.8157915466579344,"[0.3667263  0.81533101 0.84238179 0.85681293 0.89361702 0.8
 0.85620198 0.78947368 0.9375     0.72262774 0.74576271 0.84615385
 0.79093199 0.86293206 0.75       0.84861111 0.95918367 1.        ]",0.8950521574064881
9,Model,11,11,302,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'tanh', 'MLP:alpha': 0.0013123605494889951, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 167, 'MLP:solver': 'adam', 'MLP:tol': 4.504391471800684e-05, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.0021479290251913965}",336.80722761154175,0.7940128296507484,0.8040876749672832,0.7931511507892387,0.7940128296507484,0.7854462903158469,"[0.57598039 0.77702703 0.83391608 0.83035714 0.84536082 0.625
 0.84615385 0.78070175 0.93333333 0.66666667 0.72357724 0.79012346
 0.77283951 0.81691773 0.6875     0.82007823 0.97916667 0.83333333]",0.7940128296507484,0.8040876749672832,"[0.42039356 0.80139373 0.83537653 0.8591224  0.87234043 0.75
 0.86937431 0.78070175 0.875      0.68613139 0.75423729 0.82051282
 0.7884131  0.84028605 0.6875     0.87361111 0.95918367 1.        ]",0.8927491649384308
