,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,11,11,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 11, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",26.1207754611969,0.8955310226814653
1,Model,11,11,122,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",19.558984994888306,0.7938302729909796
2,Model,11,11,294,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'tanh', 'MLP:alpha': 3.775312508407531e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 166, 'MLP:solver': 'lbfgs', 'MLP:tol': 5.1444360436453976e-05}",345.9285936355591,0.6959131638521343
3,Model,11,11,261,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 8.911070855322597e-05, 'RF:criterion': 'entropy', 'RF:max_features': 0.6568891779477833, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 3, 'RF:n_estimators': 37}",38.299623250961304,0.8072780550502502
4,Model,11,11,211,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 2.572929897258096e-05, 'RF:criterion': 'entropy', 'RF:max_features': 0.49814888331851825, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 5, 'RF:n_estimators': 63}",47.23667120933533,0.8018771433005298
5,Model,11,11,246,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 2.645115080029181e-05, 'RF:criterion': 'entropy', 'RF:max_features': 0.965223403184955, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 4, 'RF:n_estimators': 60}",68.39175605773926,0.7991700449032197
6,Model,11,11,133,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'relu', 'MLP:alpha': 6.0337184860417184e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 194, 'MLP:solver': 'adam', 'MLP:tol': 0.0036723762850203157, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.007711956544381872}",63.9726459980011,0.7522958595422713
7,Model,11,11,222,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'logistic', 'MLP:alpha': 0.0001024893663376085, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 72, 'MLP:solver': 'adam', 'MLP:tol': 0.0015010774925998123, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.008060619102601183}",75.9236011505127,0.7003701754408341
8,Model,11,11,231,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'Enc:ENC:encoder': 'one-hot', 'SVM:C': 15.125152523581047, 'SVM:gamma': 0.0460130852373837, 'SVM:kernel': 'poly', 'SVM:tol': 0.0005286902609141726, 'SVM:coef0': 1.6802538581462372, 'SVM:degree': 3}",489.03837752342224,0.8170101436467885
9,Model,11,11,302,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'tanh', 'MLP:alpha': 0.0013123605494889951, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 167, 'MLP:solver': 'adam', 'MLP:tol': 4.504391471800684e-05, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.0021479290251913965}",336.80722761154175,0.7726711807417346
