,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,12,12,2,NB,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'NB'}",27.80085825920105,0.906116193288897
1,Model,12,12,183,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 5.931264066053825e-05, 'RF:criterion': 'gini', 'RF:max_features': 0.6759755932664261, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 156}",178.40761971473694,0.8183113781129878
2,Model,12,12,237,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.00014926760325608985, 'RF:criterion': 'entropy', 'RF:max_features': 0.5565642024790443, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 127}",165.5091552734375,0.822296864302543
3,Model,12,12,238,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.00010055424262558488, 'RF:criterion': 'entropy', 'RF:max_features': 0.7328580108702586, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 3, 'RF:n_estimators': 125}",134.91896605491638,0.8260462729184338
4,Model,12,12,1,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",35.26454186439514,0.801821502744638
5,Model,12,12,307,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.0009890935495481812, 'GB:learning_rate': 0.14080978489071524, 'GB:min_samples_leaf': 135}",202.31000137329102,0.8123429953782445
6,Model,12,12,213,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'relu', 'MLP:alpha': 0.0012247646884528025, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 52, 'MLP:solver': 'adam', 'MLP:tol': 0.0014260237650064811, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.008958936769902583}",50.08777594566345,0.6788247803910611
7,Model,12,12,57,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'relu', 'MLP:alpha': 0.00016148626124773538, 'MLP:n_hidden_layers': 3, 'MLP:n_neurons_layer': 52, 'MLP:solver': 'adam', 'MLP:tol': 0.00018566005068041273, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.0013822234773163717}",113.46134185791016,0.6923290110577681
8,Model,12,12,51,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'Enc:ENC:encoder': 'one-hot', 'SVM:C': 9.987775782417588, 'SVM:gamma': 0.0882071729745519, 'SVM:kernel': 'poly', 'SVM:tol': 0.0023541295692041052, 'SVM:coef0': 1.126210309193566, 'SVM:degree': 2}",251.2261242866516,0.7852170954607952
9,Model,12,12,34,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 0.33153392383440894, 'GB:learning_rate': 0.1308558944128379, 'GB:min_samples_leaf': 71}",194.06011247634888,0.8176858978482112
10,Model,12,12,39,MLP,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'tanh', 'MLP:alpha': 0.0008255112093575001, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 172, 'MLP:solver': 'adam', 'MLP:tol': 0.0010406479663269046, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.0024757550005500405}",290.2593560218811,0.7692498392972572
11,Model,12,12,282,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'Enc:ENC:encoder': 'one-hot', 'SVM:C': 24.30463773484017, 'SVM:gamma': 0.020279016987483897, 'SVM:kernel': 'poly', 'SVM:tol': 0.06150265822454088, 'SVM:coef0': 1.8801898407309587, 'SVM:degree': 5}",287.09923100471497,0.8560723980007733
