,model type,k,wanted k,rid,algorithm,configuration,runtime,accuracy,balanced_accuracy,f1_macro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo
0,Fusion,15,15,24,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",14.674878358840942,0.8916778224007139,0.8793674340679928,0.8532124473197875,0.8916778224007139,0.8350494691799443,[0.90754827 0.66007194 0.93752819],0.8916778224007139,0.8793674340679928,[0.89035591 0.84659746 0.90114893],0.91137685641854
1,Model,15,15,383,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 22, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'uniform'}",9.127617835998535,0.9045069165551093,0.8523275741534843,0.8695850844090494,0.9045069165551093,0.8923571254334588,[0.89367018 0.86440678 0.91899441],0.9045069165551093,0.8523275741534843,[0.923938   0.70588235 0.92716237],0.896389046709397
2,Model,15,15,388,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 20, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'uniform'}",8.68963360786438,0.9016064257028112,0.8450944586091621,0.864969280909388,0.9016064257028112,0.8926059820888086,[0.88720353 0.87371512 0.91689929],0.9016064257028112,0.8450944586091621,[0.92336395 0.68627451 0.92564492],0.8916749416547957
3,Model,15,15,386,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 1.2649679276252132e-06, 'GB:learning_rate': 0.37224403672610673, 'GB:min_samples_leaf': 41}",26.41310477256775,0.8732708612226685,0.8183811136998376,0.8226380846327269,0.8732708612226685,0.8272033471588718,[0.87804878 0.7038835  0.89967777],0.8732708612226685,0.8183811136998376,[0.8783008  0.66897347 0.90786907],0.8717548281229148
4,Model,15,15,210,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 6.497266122643172e-05, 'GB:learning_rate': 0.38769905437130964, 'GB:min_samples_leaf': 155}",28.864999055862427,0.8721552878179384,0.8160272306182795,0.8206611225704116,0.8721552878179384,0.8256752171991825,[0.87492845 0.7020757  0.9000215 ],0.8721552878179384,0.8160272306182795,[0.87743972 0.66320646 0.90743551],0.8702166251144543
5,Model,15,15,211,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.2662654021476058, 'GB:learning_rate': 0.1949445812337541, 'GB:min_samples_leaf': 200}",30.924052715301514,0.8731593038821954,0.8211655575739979,0.825114832526716,0.8731593038821954,0.8293302567422259,[0.87635947 0.71221282 0.89941848],0.8731593038821954,0.8211655575739979,[0.87887486 0.67935409 0.90526772],0.8731021916892971
6,Model,15,15,218,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 7.281716173461871e-09, 'GB:learning_rate': 0.1839034518668127, 'GB:min_samples_leaf': 3}",26.511711835861206,0.8755020080321285,0.8209892867258216,0.8276129559368076,0.8755020080321285,0.8350646040380157,[0.87436188 0.72932331 0.90150862],0.8755020080321285,0.8209892867258216,[0.88490241 0.67128028 0.90678517],0.8734390228035948
7,Model,15,15,384,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 19, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'uniform'}",6.996010065078735,0.8888888888888888,0.8323922688899984,0.8484953667749701,0.8888888888888888,0.8693866860404197,[0.88104612 0.82212885 0.90498509],0.8888888888888888,0.8323922688899984,[0.89925373 0.67704729 0.92087579],0.8820359533572468
8,Model,15,15,75,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 21, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'uniform'}",6.6147987842559814,0.8858768406961178,0.8239161107960088,0.842375381033816,0.8858768406961178,0.8674165985525129,[0.87940265 0.82293179 0.89991536],0.8858768406961178,0.8239161107960088,[0.89580941 0.65397924 0.92195968],0.8765360537378944
9,Model,15,15,141,KNN_CLASS,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 31, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'uniform'}",9.436168432235718,0.89301651048639,0.8335984963431621,0.8557185110511963,0.89301651048639,0.8866837325156146,[0.89195337 0.87125749 0.89684034],0.89301651048639,0.8335984963431621,[0.90040184 0.67128028 0.92911338],0.8827183915982848
