,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy
0,Fusion,12,12,10,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 12, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.3537683486938477,0.9710035958368696
1,Model,12,12,67,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 12.023604918026109, 'SVM:gamma': 0.0014299616179380685, 'SVM:kernel': 'rbf', 'SVM:tol': 4.695261380077815e-05}",1.974870204925537,0.9092017050711829
2,Model,12,12,484,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 0.00029809210119394663, 'GB:learning_rate': 0.05203013955295561, 'GB:min_samples_leaf': 99}",3.1487810611724854,0.9087318320368754
3,Model,12,12,860,QDA,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'QDA', 'QDA:reg_param': 0.022920781984706262}",1.0354158878326416,0.8995424002450403
4,Model,12,12,557,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 5.6957424042203e-10, 'GB:learning_rate': 0.12533753944380457, 'GB:min_samples_leaf': 89}",3.050678253173828,0.906350879655923
5,Model,12,12,570,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'GB:l2_regularization': 7.877916650929117e-08, 'GB:learning_rate': 0.3202069771242548, 'GB:min_samples_leaf': 6}",2.392637252807617,0.915857124776922
6,Model,12,12,273,AB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'AB', 'AB:algorithm': 'SAMME', 'AB:learning_rate': 1.7760975550384632, 'AB:n_estimators': 59}",3.1810340881347656,0.9076221159388848
7,Model,12,12,416,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.19896147244376589, 'SVM:gamma': 0.017231178416345767, 'SVM:kernel': 'poly', 'SVM:tol': 0.00012016817530096262, 'SVM:coef0': 0.25474555467310966, 'SVM:degree': 2}",301.8326721191406,0.946246237718744
8,Model,12,12,291,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.03735500089782326, 'SVM:gamma': 0.018355417696502393, 'SVM:kernel': 'poly', 'SVM:tol': 5.6332379120933454e-05, 'SVM:coef0': 0.6100813348819099, 'SVM:degree': 2}",118.31485533714294,0.9416037528157286
9,Model,12,12,589,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 15.335676082422442, 'SVM:gamma': 0.004816745129354264, 'SVM:kernel': 'poly', 'SVM:tol': 0.0005708751225003202, 'SVM:coef0': 0.9363233968454627, 'SVM:degree': 2}",253.79813289642334,0.948747354438269
10,Model,12,12,400,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 84.08238743602155, 'SVM:gamma': 0.02203297786423653, 'SVM:kernel': 'poly', 'SVM:tol': 0.008259005011924109, 'SVM:coef0': 1.9584478898259192, 'SVM:degree': 2}",486.5555715560913,0.939087305132443
11,Model,12,12,712,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.043530576725491515, 'SVM:gamma': 0.0015679613720971193, 'SVM:kernel': 'poly', 'SVM:tol': 5.9914983540800096e-05, 'SVM:coef0': 1.460096770518739, 'SVM:degree': 3}",318.5721287727356,0.9365689962499495
12,Model,12,12,713,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'SVM:C': 0.029558103624323605, 'SVM:gamma': 0.002240034720766814, 'SVM:kernel': 'poly', 'SVM:tol': 0.0003310376130372605, 'SVM:coef0': 0.3328543470955031, 'SVM:degree': 3}",585.8728523254395,0.9513832219804437
